CID,NDVI,LST
3,0.280397,42.2938995
3,0.283722,41.1419983
3,0.232531,39.5031013
3,0.24328,40.8857002
3,0.224986,42.5605011
3,0.258688,39.4911003
3,0.23111,41.6735001
3,0.320596,45.2625008
3,0.20135,41.7709007
3,0.23143,45.2881012
3,0.250539,42.425499
3,0.236652,40.9438019
3,0.271903,42.4956017
3,0.24893,43.8320007
3,0.220548,40.4925995
3,0.253407,44.0882988
3,0.255082,41.0155983
3,0.281005,38.3648987
4,0.161921,53.6110001
4,0.0925093,55.2891998
4,0.174434,52.968399
4,0.43515,43.2527008
4,0.178517,53.2247009
4,0.205357,52.0625992
4,0.156453,54.6876984
4,0.418171,43.7415009
4,0.259157,49.0992012
4,0.338965,48.0601006
4,0.395475,42.0887985
4,0.195224,53.7818985
4,0.131797,54.2364998
4,0.141039,54.3013992
4,0.153888,49.8306999
4,0.207284,49.5623016
4,0.127529,55.9488983
4,0.129996,53.2504005
4,0.242362,49.2546997
4,0.170293,52.1445999
4,0.10443,57.0169983
4,0.113884,57.7331009
4,0.159446,45.8605995
4,0.146781,54.2672005
4,0.484557,45.1650009
4,0.160829,54.3869019
4,0.13194,57.9023018
4,0.124572,51.0149994
4,0.123718,54.9371986
4,0.276256,48.8787003
4,0.350912,41.5419006
4,0.248269,44.2352982
4,0.133961,57.3571014
4,0.158666,54.3510017
4,0.148815,52.4231987
4,0.0944915,58.4474983
4,0.118239,48.1865997
4,0.1651,51.6747017
4,0.120049,55.0021019
4,0.169821,49.5469017
4,0.218973,51.2695999
4,0.167299,53.7374992
4,0.153503,50.5382004
4,0.134947,51.9668999
4,0.144702,54.8448982
4,0.117444,52.2607994
4,0.185997,49.4718018
4,0.148995,52.2266998
4,0.208169,51.770401
4,0.13424,53.8263016
4,0.169681,51.6986008
4,0.121362,57.5313988
4,0.117326,57.2613983
4,0.170271,44.419899
4,0.142006,56.5847015
4,0.143217,57.4836006
4,0.312047,44.6062012
4,0.136467,54.0723991
4,0.125878,53.2042007
0,-0.0114972,37.2700005
0,-0.0246436,37.2700005
0,0.0122853,37.2700005
0,-0.027142,37.2700005
0,-0.0118521,37.2700005
0,0.103452,37.2700005
0,0.0440889,40.8890991
0,-0.0284369,41.097599
0,-0.0234899,37.2700005
0,-0.010152,37.2700005
0,0.237829,46.0690994
0,-0.0112737,37.4642982
0,0.109112,37.3069992
0,-0.0180926,37.2700005
0,0.012987,38.6707993
0,-0.0096216,37.2700005
0,-0.0891517,37.2700005
0,0.323255,45.4487991
0,-0.0119466,37.2700005
0,0.0952885,48.767601
0,0.112606,46.6519012
0,-0.0061265,38.5819016
0,0.0658296,37.2700005
0,-0.0904503,37.6624985
0,0.284956,42.5946999
0,-0.011817,37.2700005
0,-0.0498265,37.8437004
0,-0.142288,37.3172989
0,-0.0391589,38.0042992
0,-0.0128717,37.2700005
0,0.173495,54.6739998
0,-0.0060256,37.3036003
0,-0.0717523,37.2700005
0,-0.112093,43.3125
0,-0.0151084,37.519001
0,-0.008322,37.2700005
1,0.210116,53.6076012
1,0.22759,49.6016998
1,0.0982115,52.1002007
1,0.124295,51.5875015
1,0.262041,48.7436981
1,0.301084,43.0219002
1,0.115233,52.1274986
1,0.115779,51.2695999
1,0.0638325,52.3530998
1,0.13435,48.3148003
1,0.129919,52.5615997
1,0.204468,53.4640007
1,0.0652558,52.6060982
1,0.225992,47.8583984
1,0.107224,59.1446991
1,0.138939,54.6431999
1,0.0963343,47.3354988
1,0.265927,52.9342003
1,0.279483,41.9692001
1,0.261221,52.7360001
1,0.326349,43.4730988
1,0.0393104,47.7695999
1,0.174256,52.5343018
1,0.0549925,51.0952988
